JobID|JobName|State|ExitCode|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|AllocTRES
1203465|accommodation-grad|COMPLETED|0:0|24|64|05:56.714||billing=64,cpu=64,node=1
1203465.batch|batch|COMPLETED|0:0|24|64|05:56.713|0|cpu=64,mem=0,node=1
1203465.extern|extern|COMPLETED|0:0|24|64|00:00.001|56K|billing=64,cpu=64,node=1
1203499|accommodation-grad|COMPLETED|0:0|200|64|01:52:18||billing=64,cpu=64,node=1
1203499.batch|batch|COMPLETED|0:0|200|64|01:52:18|2865820K|cpu=64,mem=0,node=1
1203499.extern|extern|COMPLETED|0:0|200|64|00:00.001|72K|billing=64,cpu=64,node=1
