site_id	target_ln	status	n_donors_first_shell	bvs	bvs_residual	bvs_per_donor	metal_displacement_from_xray_A	energy_init_kJ	energy_final_kJ	minimize_time_s	n_restrained_atoms	error
201	Nd	OK	11	5.732821998455254	2.732821998455254	0.5211656362232049	0.07441646900612135	5802.5894424588805	-29965.250501031354	24.163360595703125	797	
201	Eu	OK	11	5.227570005108162	2.227570005108162	0.4752336368280147	0.06880852849366123	6494.648222231097	-29910.230715396283	25.662267208099365	797	
203	Nd	OK	11	5.759299183021967	2.759299183021967	0.523572653001997	0.10129633199196836	5847.8723541822255	-29978.075323550464	25.897567987442017	799	
201	Sm	OK	11	5.6275257755277615	2.6275257755277615	0.5115932523207056	0.0656853017150475	6198.949147722191	-29998.59304790022	26.314851999282837	797	
202	Dy	OK	11	5.314231514696334	2.314231514696334	0.4831119558814849	0.0535486561417435	7710.075368522426	-30038.901934693837	26.99450707435608	803	
202	Yb	OK	11	4.560021387364961	1.5600213873649613	0.4145473988513601	0.04129561982144462	5382.84561523117	-29946.763870661383	27.086113929748535	803	
202	Lu	OK	11	4.456343073449536	1.4563430734495357	0.40512209758632145	0.0409319920564087	5569.490005806998	-29953.562707362813	27.406874895095825	803	
202	Eu	OK	11	5.235802796650277	2.235802796650277	0.4759820724227524	0.06874819221613854	6602.677159736944	-29905.645676467575	27.472050189971924	803	
201	La	OK	11	6.589864535143395	3.589864535143395	0.599078594103945	0.08078284835595248	7850.378147103209	-30071.307491032036	28.295617818832397	797	
202	Tb	OK	11	5.210493149614633	2.210493149614633	0.4736811954195121	0.05158021734491976	4352.1627212586645	-29947.778667890598	28.525065422058105	803	
201	Lu	OK	11	4.453651785927821	1.4536517859278213	0.40487743508434737	0.03934593563201373	7121.590521086378	-29937.90184975426	29.63556432723999	797	
203	Dy	OK	11	5.334346058632089	2.3343460586320894	0.4849405507847354	0.07649984972346195	5597.103941785112	-30042.383304068924	30.505465507507324	799	
202	La	OK	11	6.593946748037985	3.593946748037985	0.5994497043670896	0.07919670373024494	7750.91998180683	-30078.494824075868	30.49396586418152	803	
201	Yb	OK	11	4.5581928290302045	1.5581928290302045	0.4143811662754731	0.04293556190317097	8191.900078191567	-29937.232598255505	30.80760383605957	797	
201	Dy	OK	11	5.308686238648173	2.308686238648173	0.48260783987710665	0.044271782186673145	4716.4635016076845	-30009.71454408917	31.302148580551147	797	
202	Sm	OK	11	5.6344504204339385	2.6344504204339385	0.5122227654939944	0.06717540506868994	6449.500023433666	-29996.993472865255	31.93996787071228	803	
203	La	OK	12	6.621173852434872	3.6211738524348718	0.551764487702906	0.10643218101012489	5292.957039797951	-30110.479597222307	32.771052837371826	799	
202	Nd	OK	11	5.73039515639667	2.7303951563966704	0.5209450142178791	0.06926140105319865	6101.852425449944	-29989.65159220563	33.245527505874634	803	
201	Tb	OK	11	5.207713690564715	2.207713690564715	0.473428517324065	0.05375994802551235	6998.920431318984	-29922.65642339714	35.727983236312866	797	
203	Yb	OK	11	4.584581039159096	1.5845810391590964	0.41678009446900877	0.07543089964132409	7264.0082612130645	-29954.389464167663	39.3245210647583	799	
203	Eu	OK	11	5.255775515352805	2.2557755153528047	0.47779777412298224	0.09354551389667023	6257.909157277774	-29923.608995526323	41.52952194213867	799	
203	Lu	OK	11	4.478188784497377	1.4781887844973767	0.40710807131794335	0.07102829114718859	7705.185769844065	-29965.58391868421	42.70069646835327	799	
203	Sm	OK	12	5.668999676257747	2.668999676257747	0.47241663968814557	0.09046511826440967	6397.257978470325	-30032.39763312022	44.60525178909302	799	
203	Tb	OK	12	5.248869231092382	2.2488692310923817	0.4374057692576985	0.07942340715187565	4328.15638308445	-29958.616148241817	46.900636196136475	799	
