center_id,DFT_secant_curvature_kcal_mol_A2,MACE_secant_curvature_kcal_mol_A2,directional_check_pass
1F6S__11__Ca,100.24085819510151,102.77933152141354,True
1F6S__11__La,236.80145417335865,238.1824922281234,True
6IP9__110__Ca,114.40384436532021,111.91726787829384,True
6IP9__110__La,228.6527900974259,230.24487598873367,True
