DFT,MACE,angle_radian,case_id,metal,old_composite,old_solvent,status,strict_composite,strict_composite_error,strict_solvent
-0.6225324315172084,-0.42525989728447844,-0.2,4MAE,Ca,-0.3086220895900046,0.11663780769447385,complete,-0.31194221152803625,0.31059021998917213,0.11331768575644219
0.8536372237386514,1.2604940792532457,-0.2,4MAE,La,1.3048180295952219,0.044323950341976115,complete,1.2862918132324777,0.4326545894938263,0.025797733979231907
1.6222784695603052,1.7182841833470466,0.2,4MAE,Ca,1.8934595442611712,0.17517536091412467,complete,1.8935933480766867,0.2713148785163815,0.1753091647296401
0.5348577481412582,0.7047420086270073,0.2,4MAE,La,0.9451976431792979,0.24045563455229058,complete,0.9198934517033728,0.3850357035621146,0.21515144307636547
30.47422140295202,31.07484814126837,-0.2,PQQSEQ_83440678cbbd658047c9,Ca,30.99057834404237,-0.08426979722599981,complete,30.99051130036502,0.516289897413003,-0.08433684090334737
62.63295968586436,61.813203601080566,-0.2,PQQSEQ_83440678cbbd658047c9,La,59.48110397574495,-2.3320996253356157,complete,59.4778607940658,-3.155098891798559,-2.3353428070147686
-22.392882197234627,-23.304891471358378,0.2,PQQSEQ_83440678cbbd658047c9,Ca,-23.01882483879992,0.2860666325584589,complete,-23.013899974341502,-0.621017777106875,0.29099149701687566
-52.26070811896686,-51.840284785195756,0.2,PQQSEQ_83440678cbbd658047c9,La,-49.97597240286719,1.8643123823285634,complete,-49.97433500159206,2.2863731173748008,1.8659497836036962
16.348627150343948,16.60472550816647,-0.2,PQQSEQ_07ab500e3df76b30d71c,Ca,16.59990675246897,-0.004818755697499455,complete,16.520148556969136,0.1715214066251889,-0.08457695119733444
36.70345849138096,36.4427598009543,-0.2,PQQSEQ_07ab500e3df76b30d71c,La,34.639126729453785,-1.8036330715005136,complete,34.64003469927213,-2.0634237921088285,-1.8027251016821708
-12.313514515719918,-12.981914990046583,0.2,PQQSEQ_07ab500e3df76b30d71c,Ca,-12.619048383435675,0.36286660661090764,complete,-12.700225767561186,-0.38671125184126787,0.2816892224853973
-32.64860124340242,-31.89847638765472,0.2,PQQSEQ_07ab500e3df76b30d71c,La,-30.293451959095375,1.6050244285593465,complete,-30.29380933772755,2.354791905674869,1.6046670499271727
