task_id,status,reused,old_hartree,strict_hartree,change_kcal_mol,SCF_cycles,wall_seconds,printed_max_density_within,printed_rms_density_within,input_sha,output_sha
PQQSEQ_83440678cbbd658047c9__extra_acidic_ligand_homolog_0p2__La__alpb,complete,False,-328.463407601395,-328.46340765388,-3.2934838861281375e-05,34,18.22383,True,True,2968f83ee9990250accd40b7a9c0cbf3409ede749134e81681b0a4c4e79b89e2,28882eabefed38bdab14423c2057434c46a2a2f9208c35fd681e0073ddcd3459
PQQSEQ_07ab500e3df76b30d71c__origin__Ca__vacuum,complete,False,-292.239817699865,-292.239947945789,-0.08173055127647516,49,18.70789,True,True,dfe60479562e45843707d69e9356b6599831fd6d972992ca34d52fe03c71337c,69ba89ee9580db2b97e9e362f599752fa6e44ef3922fac4ed3144f29b0bb183d
PQQSEQ_07ab500e3df76b30d71c__origin__Ca__alpb,complete,False,-292.751570595389,-292.751572097134,-0.0009423591996487685,27,14.476356,True,True,f213e61d24398665b78c46056f445aaacff98b5c3220ad7e282bcfbe97212dea,d16c84c38353b375825ec4b6dce07985c4d3ca7da562254acd519d584ae11343
PQQSEQ_07ab500e3df76b30d71c__origin__La__vacuum,complete,False,-294.079821854773,-294.079822243907,-0.000244185281492965,68,21.619113,True,True,98faf01bb890ea96599c491eb87452cf1a41d4e74632e81d18fab8cc32e71f44,76138e528374299e26d53f84bf97d42514059de10e42f4634086f4683eed9bbb
PQQSEQ_07ab500e3df76b30d71c__origin__La__alpb,complete,False,-294.417565061594,-294.417565990483,-0.0005828866441342547,46,18.554624,True,True,2968f83ee9990250accd40b7a9c0cbf3409ede749134e81681b0a4c4e79b89e2,4ab46a50a5e3e20c1dd70cfefcf26f852e3fe9532e378c36c26b324434b01497
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_m0p2__Ca__vacuum,complete,False,-292.233822630168,-292.233825189796,-0.0016061908206113599,32,15.720129,True,True,dfe60479562e45843707d69e9356b6599831fd6d972992ca34d52fe03c71337c,e684f1a52efde3e87da05220f9d198e10da20235c453ab51dd6c407cf04a0fef
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_m0p2__Ca__alpb,complete,False,-292.745583204868,-292.745584123092,-0.0005761942436148363,27,14.278633,True,True,f213e61d24398665b78c46056f445aaacff98b5c3220ad7e282bcfbe97212dea,fb257c2ff5aba648d13233dbc8875aba4f58fb22f29eb347655bb92e0d57011c
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_m0p2__La__vacuum,complete,False,-294.0849068878,-294.084907927024,-0.0006521229073980082,61,20.257972,True,True,98faf01bb890ea96599c491eb87452cf1a41d4e74632e81d18fab8cc32e71f44,12a6f3b06092dbc86bf019082b8559087fdb73b180527dd3474449376f681d14
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_m0p2__La__alpb,complete,False,-294.425524366877,-294.425524498914,-8.285445169844967e-05,32,15.933651,True,True,2968f83ee9990250accd40b7a9c0cbf3409ede749134e81681b0a4c4e79b89e2,302e2a617c1b8fbc82b9c6c64660d739c0062ef9a1fe8c346b584f927abc3e12
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_0p2__Ca__vacuum,complete,False,-292.243479371069,-292.243479380579,-5.967626180969773e-06,39,17.197442,True,True,dfe60479562e45843707d69e9356b6599831fd6d972992ca34d52fe03c71337c,926701240f55dffc1094060e4f967409b558ed07cef817ce108304825a8c451d
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_0p2__Ca__alpb,complete,False,-292.754654001847,-292.754654631574,-0.0003951596748991818,27,14.889853,True,True,f213e61d24398665b78c46056f445aaacff98b5c3220ad7e282bcfbe97212dea,e89cd615e2e497c394d73fb76b9fe6974904c5732bd33055368837766cc0d218
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_0p2__La__vacuum,complete,False,-294.067510058843,-294.067510220074,-0.00010117395331695717,58,20.048767,True,True,98faf01bb890ea96599c491eb87452cf1a41d4e74632e81d18fab8cc32e71f44,3f107d9991278f050bf896260f72691eb4e2570639d5afa62fe3b4662bf230b9
PQQSEQ_07ab500e3df76b30d71c__extra_acidic_ligand_homolog_0p2__La__alpb,complete,False,-294.402695496427,-294.402696766932,-0.0007972539481502572,44,18.188259,False,True,2968f83ee9990250accd40b7a9c0cbf3409ede749134e81681b0a4c4e79b89e2,9622df60acc4d12edccafbdeee4d0facb6a7554703a66362c8757b901d08dbd6
4MAE__origin__Ca__vacuum,complete,True,-350.400320841171,-350.400320894596,-3.3524710077134725e-05,27,14.234474,True,True,dfe60479562e45843707d69e9356b6599831fd6d972992ca34d52fe03c71337c,6908290549614bb5ce4ee565e57dfa6b82e0f5504271e849f568d156c1f241f2
4MAE__origin__Ca__alpb,complete,True,-350.951383389281,-350.951383504189,-7.210586170628754e-05,25,13.817889,True,True,f213e61d24398665b78c46056f445aaacff98b5c3220ad7e282bcfbe97212dea,acd5ce2ad5c04bd80eb9f86fb3cd2aa8f40ba58478d312bbfeec777b6541d49a
4MAE__origin__La__vacuum,complete,True,-351.931156450371,-351.931197301309,-0.025634350603057195,69,28.826917,True,True,98faf01bb890ea96599c491eb87452cf1a41d4e74632e81d18fab8cc32e71f44,84aaa8ec3e3fde478d1677654ff8beb35bbb334597232fdd1bb5ecb9bc405fbb
4MAE__origin__La__alpb,complete,True,-352.318048059221,-352.318048375571,-0.00019851262013267568,88,34.957676,True,True,2968f83ee9990250accd40b7a9c0cbf3409ede749134e81681b0a4c4e79b89e2,347f6f1378d5aac01262199fe80848f592900cbf3bf251a96735fb9308335cae
