1203879|COMPLETED|10|32|00:07.696|
1203879.batch|COMPLETED|10|32|00:07.693|0
1203879.extern|COMPLETED|10|32|00:00.002|4K
1203880|COMPLETED|28|64|18:34.120|
1203880.batch|COMPLETED|28|64|18:34.119|0
1203880.extern|COMPLETED|28|64|00:00.001|0
