1203745|COMPLETED|13|32|00:10.529|
1203745.batch|COMPLETED|13|32|00:10.527|0
1203745.extern|COMPLETED|13|32|00:00.001|0
1203746|FAILED|388|64|04:17:54|
1203746.batch|FAILED|388|64|04:17:54|7061924K
1203746.extern|COMPLETED|388|64|00:00.001|20K
